PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,849,,NIA EASP,"PLAQUE, 5@1000",,"5,000.00",
,850,,DMSFI,SINGLE FACE LIGHTED USING ALUMINUM CLADING AND ACRYLIC BUILDUP,,"210,000.00",10000 (DISCOUNT)
3,851,04/12/23,PAG-IBIG FUND,"TARPAULIN W/ WOODEN STAND & FRAME FOR STAR  8 X 12 FT, 1@9400",HBC23-04-136,"9,400.00",
,852,04/27/23,PAG-IBIG FUND,TARPAULIN 6 FT X 4 FT DAVAO MATINA BRANCH,23-03-020,"1,536.00",
,853,04/27/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"HANGING TARP BACK TO BACK, 2 FT X 3 FT, 16@336; TARP FOR ROLLUP, 14@450",,"11,776.00",
,854,04/14/23,PHILHEALTH XI,"TARPAULIN STANDEE W/ MECHANISM (PCARES), 26@1400; TARPAULIN BACKDROP PRO XI FB LIVE, 1@503.10, TARPAULIN TAABLE SKIRT PRO XI FB LIVE, 1@75",23-03-047,"36,978.10",
,855,05/02/23,PHILHEALTH XI,"TARPAULIN SERVICE DESK SCHEDULE 3 FT X 2 FT, 7@108; GENERIC BACKDROP RACH OUT 8 FT X 10 FT, 1@1440; GENERIC NACKDROP 4 FT X 6 FT, 1@432",23-04-052,"2,628.00",
,856,,PHILHEALTH XI,TARPAULINS,23-04-057,"8,396.00",CANCELLED
,857,04/28/23,LISAS MEAT,"LONG SLEEVE, 10@280",,"2,800.00",CANCELLED
,858,05/11/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"MUG FOR NURSING MONTH, 70@60",,"4,200.00",
,859,05/03/23,DAVAO CONCRETE POLES CORPORATION,"TSHIRT WITH PRINT S 13@235, M 45@235, L 30@235, XL 15@245, 2XL 3@275",,"25,180.00",
,860,05/08/23,PHILHEALTH XI,TARPAULINS,23-05-085,"4,464.00",
,861,05/17/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"126,439.00",
,862,05/17/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"28,637.50",
,863,05/17/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,"PLAQUE, DR# 1503; MEGAPHONE, DR# 1574",,"7,900.00",
,864,05/17/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,"VARIOUS ITEMS, DR# 1658",,"1,400.00",
,865,05/17/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,"VARIOUS ITEMS, DR# 1659",,"1,400.00",
